amp_rmse,active_time,amp_abs_deviation,amp_quartile_diff,amp_entropy,amp_max,amp_min,amp_range,label
4.083628488,29,12.8625,25.1184,0.1408,68.72570232,0.255358225,68.47034409,dunqi
3.775884848,26,8.323,19.3476,0.0352,63.70055381,0.505869862,63.19468395,dunqi
4.136496004,26,10.4104,23.4667,0.0352,76.32519556,0.36348398,75.96171158,dunqi
4.025796817,25,11.0845,22.1349,0.0352,72.35884193,0.628392522,71.73044941,dunqi
4.150158059,29,11.9823,23.781,0.0704,69.13307583,0.806961542,68.32611429,dunqi
3.659418023,29,10.3823,20.7568,0.0352,56.98447126,0.533556072,56.45091518,shoushi
3.726033398,27,10.6442,20.693,0.0352,58.01081334,0.838500598,57.17231274,shoushi
3.676400869,29,10.2739,20.7039,0.1056,59.63154613,0.661135344,58.97041079,shoushi
3.760502521,29,10.964,22.0214,0.1408,60.30452339,0.753548447,59.55097494,shoushi
3.828655565,29,10.9478,22.4436,0.0704,64.69729308,0.726175795,63.97111728,shoushi
3.784798256,25,10.6637,21.4971,0.0352,61.06751136,0.441416966,60.62609439,shoushi
3.827398866,27,10.2554,21.1931,0.1408,60.31832517,0.115039251,60.20328592,zongshoushi
3.811139681,26,8.5031,18.8059,0.1056,61.01584666,0.585930186,60.42991647,zongshoushi
3.480016826,25,6.2078,12.3714,0.0704,57.0270569,0.145753953,56.88130295,zongshoushi
3.861103551,27,8.5105,20.9014,0.1056,64.88868827,0.66490755,64.22378072,zongshoushi
4.075240558,26,9.8012,22.6413,0.0352,69.05795313,0.510235634,68.5477175,zoudong
3.877391719,25,8.6261,19.4332,0.0352,64.92950352,0.796126288,64.13337723,zoudong
3.815497114,25,9.3826,21.6816,0.0352,62.84522898,0.114982715,62.73024626,zoudong
4.129347836,25,10.9597,23.5534,0.0352,72.17536542,0.255252441,71.92011298,zoudong
3.838397991,25,9.7927,19.437,0.0352,60.28821307,0.516193716,59.77201935,zoudong
3.802237835,26,10.0202,20.1342,0.0704,65.87549098,0.083843133,65.79164785,zoudong
3.786011849,26,9.8764,19.21,0.0352,61.24693454,0.423082373,60.82385217,zoudong
3.788513507,27,9.7714,20.0766,0.0352,59.65708649,0.299976372,59.35711011,zoudong
3.78286576,24,8.9016,17.9125,0.0352,63.42487821,0.766189499,62.65868871,zoudong
3.748862171,26,8.4808,15.8639,0.0352,63.28464443,0.624209331,62.6604351,zoudong
4.180180831,22,13.1561,29.0431,0.1056,70.11421319,0.581206839,69.53300635,zoudong
3.757660098,28,8.9831,18.3522,0.0704,61.20886134,0.545999845,60.6628615,zoudong
